time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose attachedBTactivecount attachedRIactivecount
0 0.01 6.61 8.12 8.91 0.68 0.74 1.37 1.73 0.8 0.03 2062 1669 961 708 1.35 0 0 56667052 29149 0 0
4 0.032 6.65 7.92 8.79 0.7 0.74 1.41 1.91 0.78 0.05 21518 20032 14158 5874 1.35 7550 NA NA NA 7550 0
8 0.389 6.19 6.52 8.9 1.72 0.77 1.95 3.76 0.75 0.52 477820 465580 362100 103480 1.31 62900 NA NA NA 62900 0
12 0.926 5.3 3.36 6.17 4.52 1.56 3.07 7.71 0.73 1.3 1228880 1218140 1056720 161420 1.3 163200 NA NA NA 157950 5250
16 1.129 5.13 0.88 2.56 6.77 2.93 2.82 10.3 0.74 2.02 1500100 1498760 1325560 173200 1.32 402850 NA NA NA 372100 30750
20 1.038 5.09 0.04 0.42 7.77 3.35 2.76 10.85 0.71 2.75 1597700 1591160 1403980 187180 1.29 334450 NA NA NA 316600 17850
24 0.902 5.04 0.03 0.17 8.34 3.4 3.06 11.1 0.72 2.87 1477720 1458360 1275140 183220 1.31 300300 NA NA NA 278500 21800
28 0.828 5.04 0.04 0.19 8.6 3.41 2.7 11.18 0.72 2.9 1113220 1070620 939600 131020 1.32 384850 NA NA NA 356050 28800
32 0.809 5.04 0.03 0.16 8.79 3.43 2.71 11.26 0.73 2.92 1224020 1155040 1024320 130720 1.33 332300 NA NA NA 310900 21400
36 0.807 5.17 0.04 0.15 8.8 3.39 2.67 11.24 0.72 2.9 1364640 1241760 1139100 102660 1.33 198600 NA NA NA 181250 17350
40 0.798 5.21 0.04 0.16 8.87 3.42 2.7 11.25 0.72 2.93 1182680 1043340 984320 59020 1.34 464250 NA NA NA 447000 17250
48 0.764 5.25 0.04 0.13 8.95 3.38 2.69 11.23 0.71 2.94 1178160 1010940 997260 13680 1.35 398950 NA NA NA 396350 2600
60 0.751 5.21 0.04 0.11 8.79 3.51 2.58 11.25 0.69 2.76 1333300 1175580 1168560 7020 1.32 125600 NA NA NA 125400 200
72 0.753 5.25 0.04 0.12 8.98 3.45 2.68 11.23 0.7 2.95 1158820 1030320 1029540 780 1.37 320550 4631096 785874 57994 320400 150
96 0.778 5.24 0.05 0.1 9.06 3.5 2.68 11.3 0.7 2.94 1384140 1225080 1224560 520 1.39 262900 7191558 773943 56960 262900 0
120 0.815 5.25 0.04 0.08 9.23 3.53 2.67 11.27 0.7 3.09 1099640 931320 927540 3780 1.41 227450 6767483 1043060 55710 226600 850
