"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Heterocapsa","rotundata","SCCAP K-0483","","89963","110152","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Heterocapsa","triquetra","CCMP448","CCMP448","66468","110153","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Heterosigma","akashiwo","CCMP2393","CCMP2393","2829","160585","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Heterosigma","akashiwo","CCMP3107","CCMP3107","2829","160585","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Heterosigma","akashiwo","NB","","2829","160585","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Heterosigma","akashiwo","CCMP452","CCMP452","536046","160585","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Imantonia","sp","Biosope_179_FL2-1","RCC918","97494","163094","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Isochrysis","galbana","CCMP1323","CCMP1323","37099","573884","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Isochrysis","sp","CCMP1244","CCMP1244","37098","248124","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Isochrysis","sp","CCMP1324","CCMP1324","40639","248124","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Karenia","brevis","CCMP2229","CCMP2229","156230","233015","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Karenia","brevis","Wilson","","156230","233015","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Karenia","brevis","SP3","","156230","233015","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Karenia","brevis","SP1","","156230","233015","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Karlodinium","micrum","CCMP2283","CCMP2283","407301","233037","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","Biosope_219_FL2-3","RCC935","464238","","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Kryptoperidinium","foliaceum","116-3","CCAP1116_3","160619","110154","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Kryptoperidinium","foliaceum","CCMP1326","CCMP1326","160619","110154","paired"
"","Apicomplexa","Apicomplexa_X","Gregarines","Gregarines","Lankesteria","abbotti","Grappler Inlet BC","","340204","563048","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Leptocylindrus","danicus","var. danicus B650","","163516","962746","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Leptocylindrus","danicus","var. apora B651","","1398097","839793","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Leptocylindrus","danicus","CCMP1856","CCMP1856","163516","962746","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Lessardia","elongata","SPMC 104","","210733","232703","paired"
"","Ochrophyta","Bacillariophyceae","Licmophorales","Licmophorales","Licmophora","paradoxa","CCMP2313","CCMP2313","515479","149344","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Lingulodinium","polyedra","CCMP1738","CCMP1738","160621","233592","paired"
"","Ciliophora","Litostomatea","Haptoria","Haptoria","Litonotus","pictus","P1","","665100","417359","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Lotharella","amoebiformis","CCMP2058","CCMP2058","1561963","590824","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Lotharella","globosa","LEX01","","91324","657472","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Lotharella","globosa","CCCM811","CCCM811","91324","657472","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Lotharella","sp","CCMP622","CCMP622","641309","495715","paired"
"","Rhodophyta","Compsopogonophyceae","Erythropeltidales","Erythropeltidales","Madagascaria","erythrocladioides","CCMP3234","CCMP3234","753684","623825","paired"
"","Ochrophyta","Chrysophyceae","Synurales","Synurales","Mallomonas","sp","CCMP3275","CCMP3275","2988","249721","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Mantoniella","antarctica","SL-175","","81844","341614","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Mantoniella","beaufortii","MALINA E47.P2","RCC2288","1155430","17663","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Mantoniella","sp","CCMP1436","CCMP1436","13607","134532","paired"
"","Lobosa","Discosea-Longamoebia","Dermamoebida","Dermamoebida","Mayorella","sp","BSH-02190019","","242540","120551","paired"
"","Ciliophora","Litostomatea","Cyclotrichia","Cyclotrichia","Mesodinium","pulex","SPMC105","","283647","179321","paired"
"","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales","Mesopedinella","arctica","PROSOPE_2","RCC382","296676","375969","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","commoda","CCMP1764","RCC472","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","commoda","CCMP492","RCC451","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","commoda","CCMP1723","CCMP1723","38833","134564","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","commoda","biosope_46 B4S","RCC996","1606511","1361174","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","polaris","CCMP2099","CCMP2099","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","polaris","MALINA S522","RCC2306","38833","134564","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","pusilla","CCMP1646","CCMP1646","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","pusilla","NEPCC29","NEPCC29","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","pusilla","CS-222","","38832","134533","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","pusilla","MACROVIR 13CH_0","RCC1614","38833","134564","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","sp","CCAC1681","CCAC1681","38833","134564","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas","sp","CCMP494","CCMP494","38833","134564","paired"
"","Cercozoa","Endomyxa-Ascetosporea","Haplosporida","Haplosporida","Minchinia","chitonis","Minchinia chitonis","","262233","563579","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Minidiscus","sp","RA080513-10","RCC1721","2315412","","paired"
"","Ochrophyta","Mediophyceae","Cymatosirales","Cymatosirales","Minutocellus","polymorphus","NH13","","265543","464448","paired"
"","Ochrophyta","Mediophyceae","Cymatosirales","Cymatosirales","Minutocellus","polymorphus","MALINA S95","RCC2270","265543","464448","paired"
"","Ochrophyta","Mediophyceae","Cymatosirales","Cymatosirales","Minutocellus","polymorphus","CCMP3303","CCMP3303","265543","464448","paired"
"","Ciliophora","Litostomatea","Cyclotrichia","Cyclotrichia","Myrionecta","rubra","CCMP2563","CCMP2563","283649","232069","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Navicula","sp","RA120910 P2A1","RCC3092","1764896","","paired"
"","Discoba","Euglenozoa","Kinetoplastida","Kinetoplastida","Neobodo","designis","1951-1","CCAP 1951/1","312471","146154","paired"
"","Lobosa","Discosea-Flabellinia","Dactylopodida","Dactylopodida","Neoparamoeba","aestuarina","SoJaBio B1-5","","180227","120664","paired"
"","Chlorophyta","Nephroselmidophyceae","Nephroselmidophyceae_X","Nephroselmidophyceae_X","Nephroselmis","pyriformis","CCMP717","CCMP717","156128","134541","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Nitzschia","punctata","CCMP561","CCMP561","913974","978142","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Nitzschia","sp","MBIC11128","RCC80","2857","149045","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Noctiluca","scintillans","Noctiluca scintillans","","2966","109921","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Norrisiella","sphaerica","BC52","","91329","590917","paired"
"","Ochrophyta","Chrysophyceae","Ochromonadales","Ochromonadales","Ochromonadaceae_X","sp","CCMP2298","CCMP2298","483371","368876","paired"
"","Ochrophyta","Chrysophyseae","Chryso_Clade_C","Chryso_Clade_C","Ochromonas","triangulata","CHR25","RCC21","1955567","","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Ochromonas","sp","CCMP1393","CCMP1393","420556","249725","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Ochromonas","sp","BG-1","","2985","249725","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Ochromonas","sp","CCMP1899","CCMP1899","2985","249725","paired"
"","Ochrophyta","Mediophyceae","Briggerales","Briggerales","Odontella","aurita","1302-5","","265563","149050","paired"
"","Ochrophyta","Mediophyceae","Briggerales","Briggerales","Odontella","sinensis","1884","","1514140","839993","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","lucimarinus","clade-A-BCC118000","","242159","656266","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC2572-Obag2","RCC2572","1486918","","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC1621","RCC1621","1486918","","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC2596","RCC2596","1486918","","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC2573","RCC2573","1486918","","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC2593","RCC2593","1486918","","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Ostreococcus","mediterraneus","clade-D-RCC1107","RCC1107","1486918","","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Oxyrrhis","marina","CCMP1788","CCMP1788","2969","109902","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Oxyrrhis","marina","CCMP1795","CCMP1795","2969","109902","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Oxyrrhis","marina","Oxyrrhis marina","","2969","109902","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Oxyrrhis","marina","LB1974","","2969","109902","paired"
"","Hacrobia_X","Hacrobia_Xx","Hacrobia_Xxx","Hacrobia_Xxx","Palpitomonas","bilix","NIES-2562","","652834","","paired"
"","Lobosa","Discosea-Flabellinia","Dactylopodida","Dactylopodida","Paramoeba","atlantica","Strain 621","CCAP1560_9","1077153","","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","Biosope_226_FL2-3","RCC908","464236","","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Paraphysomonas","imperforata","PA2","","37642","341603","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Paraphysomonas","vestita","GFlagA","","36770","341605","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Paraphysomonas","bandaiensis","Paraphysomonas Caron Lab Isolate","","89770","619966","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Partenskyella","glossopodia","PROSOPE_99","RCC365","552666","590920","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Partenskyella","glossopodia","PROSOPE_99","RCC365","552666","590920","paired"
"","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovales","Pavlova","gyrans","CCMP608","CCMP608","44452","573929","paired"
"","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovales","Pavlova","lutheri","AC44","RCC1537","2832","590558","paired"
"","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovales","Pavlova","sp","CCMP459","CCMP459","298111","249731","paired"
"","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovales","Pavlovales","sp","CCMP2436","CCMP2436","483367","249729","paired"
"","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales","Pedinellales_Xx","sp","CCMP2098","CCMP2098","483369","160597","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagococcus","subviridis","CCMP1429","CCMP1429","35679","375971","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Pelagodinium","beii","PDI-1","RCC1491","43686","838272","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagomonas","calceolata","CCMP1756","CCMP1756","35677","345504","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagomonas","calceolata","Biosope_93 B","RCC969","35677","345504","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagomonas","calceolata","CCMP1214","RCC100","35677","345504","paired"
"","Ochrophyta","Pelagophyceae","Pelagophyceae_X","Pelagophyceae_X","Pelagophyceae_Xxx","sp","CCMP2097","CCMP2097","483370","345500","paired"
"","Ochrophyta","Pelagophyceae","Pelagophyceae_X","Pelagophyceae_X","Pelagophyceae_Xxx","sp","Biosope_25 B2","RCC1024","114041","345500","paired"
"","Ochrophyta","Pelagophyceae","Pelagophyceae_X","Pelagophyceae_X","Pelagophyceae_Xxx","sp","CCMP2135","CCMP2135","100272","345500","paired"
"","Ochrophyta","Pelagophyceae","Pelagophyceae_X","Pelagophyceae_X","Pelagophyceae_Xxx","sp","Aka P71.E10","RCC2696","35675","345500","paired"
"","Discoba","Heterolobosea","Heterolobosea_X","Heterolobosea_X","Percolomonas","cosmopolitus","AE-1 ATCC 50343","","63605","428764","paired"
"","Discoba","Heterolobosea","Heterolobosea_X","Heterolobosea_X","Percolomonas","cosmopolitus","WS","","63605","428764","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Peridinium","aciculiferum","PAER_2","","268820","689781","paired"
"","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_X","Perkinsus","chesapeaki","ATCC_PRA_65","","330153","883642","paired"
"","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_X","Perkinsus","marinus","ATCC50439","","31276","562957","paired"
"","Lobosa","Discosea-Flabellinia","Discosea-Flabellinia_X","Discosea-Flabellinia_X","Pessonella","sp","PRA-29","","498008","761230","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","aff. globosa","BL_70","RCC576","1764214","","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","antarctica","Caron Lab","","33657","341585","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","antarctica","CCMP1374","RCC4023","33657","341585","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","antarctica","CCMP1374","CCMP1374","33657","341585","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","antarctica","CCMP1871","RCC4024","33657","341585","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","cordata","CCMP2495","RCC1383","118079","613429","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","cordata","CCMP2495","RCC1383","118079","613429","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","globosa","PCC64","RCC3538","33656","160538","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","globosa","RIKZ-Graves","RCC739","33658","160538","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","rex","He001206-D2-B1","RCC678","1631190","","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","CCMP2710","CCMP2710","33656","115088","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","CCMP2000","CCMP2000","33656","115088","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","PCC559","PCC559","126725","115088","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","NIES1396","RCC3537","33658","115106","paired"
"","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystales","Phaeocystis","sp","Biosope_202","RCC851","464232","","paired"
"","Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidales","Phaeomonas","parva","CCMP2877","CCMP2877","124430","375874","paired"
"","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales","Picochlorum","oklahomense","CCMP2329","CCMP2329","249345","616812","paired"
"","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales","Picochlorum","sp","Biosope_237_DVC4","RCC944","464278","603429","paired"
"","Chlorophyta","Picocystophyceae","Picocystales","Picocystales","Picocystis","salinarum","CCMP1897","CCMP1897","88271","613441","paired"
"","Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidales","Pinguiococcus","pyrenoidosus","CCMP2078","CCMP2078","172671","376356","paired"
"","Ciliophora","Colpodea","Platyophryida","Platyophryida","Platyophrya","macrostoma","WH","","938130","","paired"
"","Haptophyta","Prymnesiophyceae","Coccolithales","Coccolithales","Pleurochrysis","carterae","CCMP645","CCMP645","13221","837255","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Pleurosigma","sp","RA120910 P1B3","RCC3090","1764931","","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Polarella","glacialis","CCMP1383","CCMP1383","89957","232248","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Polarella","glacialis","CCMP2088","CCMP2088","89957","232248","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Polytomella","parva","SAG 63-3","","51329","610842","paired"
"","Rhodophyta","Porphyridiophyceae","Porphyridiales","Porphyridiales","Porphyridium","aerugineum","SAG1380-2","","2792","145787","paired"
"","Chlorophyta","Palmophyllophyceae","Prasinococcales","Prasinococcales","Prasinococcus","capsulatus","CCMP1194","CCMP1194","156131","375880","paired"
"","Chlorophyta","Palmophyllophyceae","Prasinococcales","Prasinococcales","Prasinoderma","coloniale","CCMP1413","CCMP1413","156133","375881","paired"
"","Chlorophyta","Palmophyllophyceae","Prasinococcales","Prasinococcales","Prasinoderma","singularis","Biosope_243_FL1-4","RCC927","676789","624302","paired"
"","Ochrophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniales","Proboscia","alata","PI-D3","","216777","149168","paired"
"","Ochrophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniales","Proboscia","inermis","1064-1","CCAP1064/1","420281","341501","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Prorocentrum","lima","CCMP684","CCMP684","39448","110301","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Prorocentrum","micans","CCCM845","CCCM845","2945","110303","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Prorocentrum","minimum","CCMP1329","CCMP1329","39449","232376","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Prorocentrum","minimum","CCMP2233","CCMP2233","39449","232376","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Proteomonas","sulcata","CCMP704","CCMP704","77928","573956","paired"
"","Dinoflagellata","Dinophyceae","Suessiales","Suessiales","Pelagodinium","beii","PDI-1","RCC1491","43686","838272","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Protoceratium","reticulatum","CCCM535","CCMP1889","133427","110321","paired"
"","Ciliophora","Spirotrichea","Protocruziida","Protocruziida","Protocruzia","adherens","Boccale","","223996","427746","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Prymnesium","parvum","Texoma1","","97485","160564","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","arenysensis","B593","","697910","531449","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","australis","10249 10 AB","","44445","246604","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","delicatissima","B596","","44447","149153","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","delicatissima","UNC1205","","44447","149153","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","fraudulenta","WWA7","","183588","246606","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","heimii","UNC1101","","476441","411764","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","pungens","cf. pungens","","37318","160528","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Pseudo-Nitzschia","pungens cf. cingulata","cf. cingulata","","37318","160528","paired"
"","Ciliophora","Spirotrichea","Hypotrichia","Hypotrichia","Pseudokeronopsis","sp","OXSARD2","","311385","391920","paired"
"","Ciliophora","Spirotrichea","Hypotrichia","Hypotrichia","Pseudokeronopsis","sp","Brazil","","311385","391920","paired"
"","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales","Pseudopedinella","elastica","CCMP716","CCMP716","35684","248149","paired"
"","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales","Pteridomonas","danica","PT","","38822","341762","paired"
"","Chlorophyta","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_X","Pterosperma","sp","CCMP1384","CCMP1384","38835","160595","paired"
"","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pseudoscourfieldiales","Pycnococcus","provasolii","JST MH318","RCC2336","41880","376073","paired"
"","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pseudoscourfieldiales","Pycnococcus","provasolii","Biosope_206_FL1-1","RCC931","41880","376073","paired"
"","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pseudoscourfieldiales","Pycnococcus","provasolii","IndianOcean_39-2","RCC733","41880","376073","paired"
"","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pseudoscourfieldiales","Pycnococcus","provasolii","ROS9401","RCC251","41880","376073","paired"
"","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pseudoscourfieldiales","Pycnococcus","sp","CCM1998","CCM1998","41879","370136","paired"
"","Chlorophyta","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_X","Pyramimonas","amylifera","CCMP720","CCMP720","1486889","838163","paired"
"","Chlorophyta","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_X","Pyramimonas","obovata","CCMP722","CCMP722","1411642","376151","paired"
"","Chlorophyta","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_X","Pyramimonas","parkeae","CCMP726","CCMP726","36894","495287","paired"
"","Chlorophyta","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_X","Pyramimonas","sp","CCMP2087","CCMP2087","36898","134529","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Pyrocystis","lunula","CCCM517","CCCM517","2972","164053","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Pyrodinium","bahamense","pbaha01","","73915","231886","paired"
"","Stramenopiles_X","Labyrinthulea","Thraustochytriales","Thraustochytriales","Quahog Parasite Qpx","quahog parasite","QPX NY0313808BC1","","100272","22156","paired"
"","Stramenopiles_X","Labyrinthulea","Thraustochytriales","Thraustochytriales","Quahog Parasite Qpx","sp","QPX NY07348D","","100272","22156","paired"
"","Ochrophyta","Dictyochophyceae","Rhizochromulinales","Rhizochromulinales","Rhizochromulina","marina","CCMP1243","CCMP1243","1034831","178601","paired"
"","Ochrophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniales","Rhizosolenia","setigera","CCMP1694","","3005","149115","paired"
"","Rhodophyta","Rhodellophyceae","Rhodellales","Rhodellales","Rhodella","maculata","CCMP736","CCMP736","2801","145790","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Rhodomonas","lens","RHODO","","354590","248153","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Rhodomonas","salina","CCMP1319","CCMP1319","52970","106316","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Rhodomonas","sp","CCMP768","CCMP768","302021","106289","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Rhodomonas","abbreviata","Rhodomonas Caron Lab Isolate","","46948","573967","paired"
"","Rhodophyta","Stylonematophyceae","Porphyridiales-2","Porphyridiales-2","Rhodosorus","marinus","CCMP769","CCMP769","101924","145791","paired"
"","Rhodophyta","Stylonematophyceae","Porphyridiales-2","Porphyridiales-2","Rhodosorus","marinus","UTEX LB2760","","101924","145791","paired"
"","Foraminifera","Rotaliida","Discorbacea","Discorbacea","Rosalina","sp","Rosalina","","37353","","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Sarcinochrysis","sp","CCMP770","CCMP770","54406","370187","paired"
"","Stramenopiles_X","Labyrinthulea","Thraustochytriales","Thraustochytriales","Schizochytrium","aggregatum","ATCC28209","","4773","722972","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Scrippsiella","hangoei","SHTV5","","268821","233093","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Scrippsiella","hangoei-like","SHHI-4","","268821","233093","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Scrippsiella","trochoidea","CCMP3099","CCMP3099","71861","110172","paired"
"","Haptophyta","Prymnesiophyceae","Zygodiscales","Zygodiscales","Scyphosphaera","apsteinii","AC505","RCC1455","418940","235975","paired"
"","Tubulinea","Arcellinida","Difflugina","Difflugina","Sexangularia","sp","CB-2014 ATCC50979","","1486929","","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Shionodiscus","bioculatus","MALINA FT99.3 PG3bis","RCC1991","1048533","null","paired"
