"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","BL_33-3","RCC435","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","sp","BL_34","RCC560","1764863","","paired"
"","Ciliophora","Heterotrichea","Heterotrichida","Heterotrichida","Blepharisma","japonicum","Stock R1072","","5961","","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Brandtodinium","nutricula","VFR11","RCC3387","1333877","840495","paired"
"","Stramenopiles_X","Bicoecea","Anoecales","Anoecales","Cafeteria","roenbergensis","E4-10","","33653","104012","paired"
"","Stramenopiles_X","Bicoecea","Anoecales","Anoecales","Cafeteria","sp","Cafeteria Caron Lab Isolate","","33652","103989","paired"
"","Haptophyta","Prymnesiophyceae","Coccolithales","Coccolithales","Calcidiscus","leptoporus","AC370","RCC1130","127549","235923","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Ceratium","fusus","PA161109","","2916","840626","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","affinis","CCMP159","CCMP159","426623","149241","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","brevis","CCMP164","CCMP164","426625","149291","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","curvisetus","Chaetoceros curvisetus","","230516","961769","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagomonas","calceolata","BOUM81-4","RCC2362","35677","345504","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","debilis","MM31A-1","","122233","961758","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","dichaeta","CCMP1751","CCMP1751","420782","178215","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","neogracile","CCMP1317","CCMP1317","240364","178207","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","neogracile","MALINA FT99.3 PG5","RCC1993","1048532","178207","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","sp","GSL56","","947934","148985","paired"
"","Ochrophyta","Mediophyceae","Chaetocerotales","Chaetocerotales","Chaetoceros","sp","UNC1202","","49240","148985","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Chattonella","subsalsa","CCMP2191","CCMP2191","44440","246590","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Chlamydomonas","chlamydogama","SAG 11-48b","","225041","616483","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Chlamydomonas","euryale","CCMP219","CCMP219","1486919","495284","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Chlamydomonas","leiostraca","SAG 11-49","","1034604","616487","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Chlamydomonas","sp","CCMP681","CCMP681","3052","178583","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Chlorarachnion","reptans","CCCM449","CCCM449","29199","376147","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloroparvula","japonica","JST MH340","RCC2339","100272","","paired"
