time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.014 6.69 7.53 7.93 0.62 0.57 1.66 2.18 4382 3734 1.27
4 0.031 6.57 7.53 7.97 0.66 0.57 1.77 2.25 18554 17970 1.28
8 0.24 6.31 6.75 8.14 1.28 0.6 2.52 3.23 183262 182572 1.25
12 0.689 5.55 4.22 6.94 3.89 1.31 2.89 6.28 659983 658573 1.28
16 0.874 5.14 1.28 3.35 6.41 3.09 2.92 9.63 1059658 1058018 1.26
20 0.837 5.04 0.22 1.25 7.96 3.63 2.96 11.5 1009461 1008051 1.26
24 0.696 5 0.14 0.84 8.82 3.68 2.9 12.12 972004 970024 1.26
28 0.633 4.97 0.13 0.81 9.12 3.72 3.29 12.17 877866 875996 1.26
32 0.624 5 0.13 0.77 9.26 3.68 2.88 12.18 880093 877153 1.27
38 0.652 5.04 0.14 0.76 9.31 3.63 2.87 12.26 1000190 996980 1.33
42 0.652 5.13 0.17 0.9 11.22 4.46 3.46 14.46 855032 849552 1.54
48 0.668 5.09 0.15 0.74 9.42 3.67 2.88 12.26 938478 919988 1.34
72 0.713 5 0.15 0.68 9.62 3.74 2.83 12.32 952400 890329 1.42
