time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose
0 0.017 6.65 7.99 8.88 0.59 1.1 1.98 0.75 0.12 1034 511 1.33 0 0 52393552 37896
4 0.017 6.61 7.99 8.88 0.59 1.1 1.98 0.75 0.12 547 15 1.33 1200 NA NA NA
8 0.015 6.65 7.88 8.75 0.59 1.08 2 0.74 0.11 393 164 1.31 750 NA NA NA
12 0.029 6.65 7.91 8.77 0.57 1.06 2.1 0.75 0.15 8100 3950 1.33 4250 NA NA NA
16 0.161 6.53 7.25 8.52 0.58 1.02 2.65 0.7 0.5 88210 75840 1.32 7550 NA NA NA
20 0.329 6.27 6.35 8.64 0.71 1.06 3.89 0.72 1.58 123960 115960 1.3 21300 NA NA NA
24 0.521 5.88 3.5 7.73 1.07 0.98 6.13 0.72 3.26 277790 272940 1.3 126550 NA NA NA
28 0.726 5.63 0.24 5.29 1.72 0.88 8.59 0.68 5.42 515970 502510 1.25 169250 NA NA NA
32 0.655 5.8 0.14 0.8 1.97 0.94 8.87 0.68 7.38 529630 500270 1.28 169400 NA NA NA
36 0.482 5.84 0.18 0.11 1.77 0.92 8.48 0.63 7.83 383690 346240 1.28 111200 NA NA NA
40 0.403 5.8 0.19 0.09 1.73 0.84 8.35 0.6 7.77 361880 319180 1.26 88350 NA NA NA
48 0.32 5.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
56 0.262 5.84 0.22 0 1.84 0.9 7.97 0.56 8.28 103485 97855 1.26 26600 NA NA NA
72 0.228 5.93 0.21 0 1.81 0.97 7.61 0.51 8.65 148230 51150 1.3 18800 15836699 29514674 35173
96 0.23 5.93 0.19 0 2.17 0.97 6.93 0.44 8.98 149910 38280 1.28 13750 9448486 29273174 37786
120 0.231 5.89 0.17 0 2.21 1 6.49 0.4 9.25 155180 31990 1.27 12350 5651775 29706712 39642
