time OD pH liquidtotalcount liquidactivecount attachedactivecount Galactose Mannose Fucose
0 0.012 6.64 2808 2332 0 0 66778320 56291
4 0.037 6.64 28838 28165 14550 NA NA NA
8 0.37 6.14 360610 357880 61650 NA NA NA
12 1.365 5.16 1080090 1076300 385900 NA NA NA
16 1.445 5.04 1561130 1548000 342450 NA NA NA
20 1.32 4.99 1374440 1355790 258100 NA NA NA
24 1.12 4.95 1029320 1021460 564650 NA NA NA
28 1.05 4.95 880760 874850 484450 NA NA NA
32 0.995 5.04 908280 904230 317350 NA NA NA
36 0.875 4.95 970480 958440 183450 NA NA NA
40 0.895 5.04 827880 799220 365200 NA NA NA
48 0.91 5.04 1036520 1016380 261950 NA NA NA
60 0.92 5.09 1105210 1060410 321200 NA NA NA
72 0.965 5.04 1134620 1059760 345550 1352388 2442058 75885
86 0.985 5.04 1164070 1083280 193900 NA NA NA
96 1.015 5.12 1009500 938090 226850 2180903 2213404 78448
120 1.02 5.08 1091610 1000180 581100 2062566 1425933 88290
