time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.014 6.74 7.6 7.94 0.61 0.58 1.57 2.17 4753 4109 1.29
4 0.024 6.56 7.53 7.96 0.66 0.58 1.78 2.23 17257 16616 1.27
8 0.211 6.31 6.89 8.21 1.22 0.62 2.32 3.12 228160 227030 1.26
12 0.657 5.59 4.42 7.14 3.78 1.32 3.8 6.07 763902 762292 1.28
16 0.868 5.14 1.44 3.55 6.17 2.98 2.92 9.52 1728989 1726829 1.27
20 0.828 5.04 0.23 1.3 7.8 3.85 2.89 11.45 1168993 1167433 1.26
24 0.7 5.01 0.15 0.85 8.6 3.71 2.91 12.03 592834 574334 1.26
28 0.633 4.97 0.13 0.8 9.12 3.75 2.88 12.18 930189 928199 1.27
32 0.615 5 0.15 0.79 9.12 3.71 2.86 12.22 866243 863953 1.28
38 0.628 5.04 0.14 0.75 9.3 3.76 3.16 12.23 1035020 1032660 1.34
42 0.648 5.08 0.14 0.73 9.28 3.68 2.84 12.17 1123159 1118589 1.34
48 0.664 5.05 0.14 0.71 9.28 3.8 2.85 12.22 1218615 1206515 1.33
72 0.695 5.05 0.15 0.66 9.49 3.86 2.83 12.27 1166800 1127880 1.36
