time OD pH liquidtotalcount liquidactivecount
0 0.007 6.35 1793 1746
4 0.013 6.31 13144 11356
8 0.062 6.27 88025 86270
12 0.073 6.22 127160 126900
16 0.058 6.27 104235 103835
24 0.046 6.22 85660 83815
36 0.031 6.26 21105 17235
48 0.022 6.26 23405 19230
72 0.027 6.26 23285 18515
86 0.045 6.3 38370 31155
96 0.035 6.3 31440 24075
120 0.03 6.25 27160 18870
144 0.03 6.31 29170 20435
168 0.037 6.31 27095 17285
