time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount
0 0.001 6.65 8.93 8.21 0.28 0.69 1.95 0.69 0.06 1201 1115
4 0.025 6.61 8.82 7.92 0.29 0.74 2.17 0.69 0.1 8607 8375
8 0.17 6.35 8.3 8.37 0.31 0.69 2.68 0.66 0.55 99760 97140
12 0.41 6.23 6.63 8.27 0.97 0.67 4.04 0.66 1.85 186820 152790
16 1.095 5.68 1.29 7.57 2.62 0.65 5.67 0.63 5.28 640390 630200
20 1.07 5.76 0.1 0.11 2.81 0.65 6.4 0.58 8.25 677000 674290
24 0.76 5.76 0.14 0.07 2.91 0.68 6.55 0.61 8.9 799220 790300
28 0.685 5.72 0.24 0.08 2.82 1.34 6.44 0.62 8.97 725790 708120
32 0.555 5.88 0.27 0 3.07 0.8 6.37 0.6 9.17 537750 514010
36 0.51 5.88 0.3 0 3.03 0.77 6.21 0.57 9.21 484900 401390
40 0.445 5.85 0.38 0 3.21 0.79 6.42 0.54 9.14 393740 274890
44 0.37 5.8 0.31 0 3.06 0.76 6.1 0.52 9.34 323910 197400
48 0.36 5.89 0.32 0 3.11 0.74 6.08 0.5 9.34 338900 182190
60 0.315 5.89 0.38 0 3.79 1.03 7.07 0.44 9.41 333040 214960
72 0.385 5.97 0.29 0 3.18 0.75 5.48 0.41 9.76 408080 230950
96 0.4 5.92 0.24 0 3.01 0.77 4.95 0.37 10.03 433160 210690
120 0.335 5.92 0.29 0 3.33 0.83 4.77 0.32 10.37 497630 259970
