time OD pH liquidtotalcount liquidactivecount
0 0.017 6.27 1315 1264
4 0.023 6.23 11626 8681
8 0.064 6.19 90865 89030
12 0.074 6.18 124880 124500
16 0.067 6.14 122410 122090
24 0.051 6.14 77915 73765
36 0.039 6.14 28520 25075
48 0.032 6.14 22320 16100
72 0.03 6.17 25710 17210
86 0.038 6.22 21700 11275
96 0.036 6.26 24615 11900
120 0.04 6.2 30115 16970
144 0.05 6.19 49640 36730
168 0.046 6.23 33605 22555
