time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.006 6.65 7.62 8.01 0.63 0.59 1.73 2.16 3842 3347 1.29
4 0.02 6.53 7.53 8.01 0.65 0.58 1.74 2.23 21384 20822 1.27
8 0.235 6.27 6.79 8.24 1.37 0.58 2.51 3.26 274151 273211 1.27
12 0.657 5.54 4.18 6.62 3.82 1.33 2.93 6.3 687792 686372 1.26
16 0.845 5.18 1.31 3.1 6.35 3.29 2.99 9.75 866130 864670 1.27
20 0.799 5.04 0.23 1.23 7.81 3.9 2.99 11.6 1016585 1015105 1.28
24 0.667 5 0.15 0.88 8.73 4.12 2.98 12.17 890197 888587 1.28
28 0.613 4.97 0.14 0.84 9.01 3.75 2.94 12.28 702423 700683 1.28
32 0.6 5 0.14 0.83 9 3.84 2.98 12.27 911242 908682 1.29
38 0.622 5.08 0.14 0.79 9.07 4 2.95 12.22 1160921 1156341 1.33
42 0.632 5.16 0.14 0.77 9.13 3.97 2.95 12.21 882851 876621 1.35
48 0.649 5.09 0.15 0.76 9.33 4.03 2.97 12.29 911594 888134 1.36
72 0.698 5 0.15 0.7 9.24 3.97 2.89 12.31 881846 832736 1.42
