time OD pH liquidtotalcount liquidactivecount
0 0.015 6.52 1243 1178
4 0.027 6.52 13441 10366
8 0.066 6.52 92055 90560
12 0.079 6.52 106875 106050
16 0.068 6.52 99895 99885
24 0.051 6.48 75840 74995
36 0.038 6.52 29390 27490
48 0.037 6.47 19140 16645
72 0.035 6.43 26565 23710
86 0.04 6.56 29725 25325
96 0.04 6.56 30135 25725
120 0.038 6.51 33830 28990
144 0.037 6.52 38090 32200
168 0.039 6.52 33350 27705
