time OD pH liquidtotalcount liquidactivecount
0 0.004 6.31 1219 1156
4 0.014 6.27 13673 12348
8 0.062 6.31 91000 89820
12 0.076 6.26 103830 103820
16 0.057 6.27 108760 108465
24 0.045 6.26 82810 80250
36 0.027 6.26 21100 18295
48 0.023 6.26 23880 20025
72 0.027 6.26 24895 19210
86 0.029 6.26 23185 15185
96 0.025 6.3 22120 14400
120 0.034 6.27 29645 21030
144 0.039 6.31 34935 25780
168 0.032 6.35 28460 17345
