time OD pH liquidtotalcount liquidactivecount
0 0.021 6.52 2142 2045
4 0.025 6.52 13865 10720
8 0.067 6.48 89985 88100
12 0.085 6.39 125465 125050
16 0.07 6.4 112415 112400
24 0.055 6.43 77030 75845
36 0.039 6.43 32310 29285
48 0.03 6.43 14245 11865
72 0.032 6.43 17990 14250
86 0.035 6.56 18360 12460
96 0.034 6.56 17580 11410
120 0.035 6.44 18980 11295
144 0.03 6.48 19145 10985
168 0.032 6.52 17860 10690
