time OD pH liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount attachedactivecount attachedBTactivecount attachedRIactivecount
0 0.027 6.6 3499 3430 2568 862 0 0 0
120 0.793 5.2 1083840 993945 981180 12765 NA NA NA
144 0.838 5.33 1069840 972980 969940 3040 75200 75100 100
156 0.851 5.3 913520 839040 837200 1840 150950 150450 500
168 0.862 5.3 1137860 1045400 1044220 1180 114200 114100 100
192 0.89 5.3 995700 908560 907560 1000 62150 62100 50
216 0.909 5.3 1262480 1152220 1150260 1960 78700 78600 100
240 0.926 5.3 1036760 733640 731160 2480 76900 76650 250
264 0.939 5.35 1165220 954180 953060 1120 342950 342650 300
288 0.948 5.35 1243020 1114680 1111720 2960 104300 103950 350
