time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount
0 0.005 6.64 7.37 9.59 0.38 0.84 1.71 0.66 0 1045 862
4 0.031 6.65 7.33 9.62 0.38 0.9 1.88 0.65 0.05 9877 9055
8 0.278 6.4 6.32 9.48 0.6 0.87 2.84 0.62 0.76 NA NA
12 0.676 5.97 2.74 8.79 1.15 0.84 5.06 0.62 3.34 435970 426890
16 0.907 5.68 0.09 2.94 2.17 0.85 5.97 0.61 7.46 856180 851070
24 0.726 5.85 0.11 0.09 2.23 1.12 6.19 0.57 9.29 782965 771570
28 0.688 5.81 0.11 0.09 2.13 0.96 6.42 0.58 9.51 487005 464185
32 0.623 5.81 0.1 0.07 1.55 0.99 5.89 0.49 9.55 494940 430070
38 0.559 5.77 0.24 0.14 1.24 1.14 6.7 0.65 9.61 495305 354760
48 0.544 5.8 0.23 0.13 0.75 1.13 6.67 0.61 9.76 626110 397305
60 0.57 5.81 0.22 0.12 0.31 1.14 6.52 0.56 9.96 547620 344390
72 0.578 5.76 0.22 0.12 0.35 1.13 6.37 0.54 10.08 661320 389890
96 0.576 5.89 0.21 0.11 0.41 1.16 6.13 0.48 10.42 737345 323240
120 0.583 5.8 0.2 0.11 0.24 1.16 6.01 0.43 10.59 694590 228050
