time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.012 6.74 7.6 7.97 0.64 0.58 1.71 2.15 2797 2071 1.28
4 0.021 6.57 7.52 7.95 0.62 0.57 1.8 2.25 19569 18961 1.27
8 0.217 6.27 6.85 8.22 1.27 0.62 2.42 3.17 247522 246442 1.26
12 0.65 5.59 4.3 6.94 3.74 1.36 3.81 6.01 568753 567263 1.25
16 0.86 5.18 1.33 3.16 6.27 3.23 2.99 9.76 1023111 1021681 1.27
20 0.818 5.04 0.23 1.29 7.7 3.93 2.9 11.41 1201910 1200150 1.27
24 0.693 5 0.15 0.86 8.73 3.98 2.92 12.05 1033360 1031420 1.27
28 0.629 4.97 0.14 0.81 9.07 3.83 2.9 12.21 813424 811594 1.28
32 0.611 5.01 0.13 0.79 9.24 3.99 2.91 12.18 673965 672225 1.28
38 0.625 5.09 0.14 0.76 9.21 3.84 2.89 12.2 910483 907413 1.33
42 0.636 5.12 0.14 0.74 9.17 3.82 2.86 12.16 1028934 1023714 1.34
48 0.653 5.09 0.15 0.75 9.33 4.05 2.91 12.23 1158082 1136082 1.34
72 0.702 5 0.15 0.68 9.45 3.89 2.86 12.25 1133015 1077965 1.36
