time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount
0 0.007 6.64 7.38 9.66 0.39 0.88 1.71 0.65 0 1054 817
4 0.031 6.65 7.24 9.52 0.37 0.89 1.86 0.64 0.04 10730 9762
8 0.322 6.44 6.19 9.63 0.63 0.88 3.09 0.63 0.88 NA NA
12 0.738 5.89 1.89 8.64 1.32 0.82 5.41 0.61 3.81 471580 462455
16 0.943 5.76 0.1 1.12 2.39 0.98 6.34 0.58 8.15 616425 609000
24 0.715 5.85 0.11 0.1 2.19 1.11 6.33 0.57 9.1 829745 810685
28 0.696 5.8 0.11 0.08 2.02 0.98 6.74 0.55 9.08 652780 623225
32 0.641 5.77 0.1 0.07 1.5 0.91 6.95 0.54 9.55 706755 617995
38 0.548 5.78 0.24 0.13 1.05 1.14 6.8 0.63 9.4 463840 281705
48 0.542 5.85 0.23 0.13 0.51 1.14 6.78 0.59 9.66 592370 371345
60 0.575 5.85 0.22 0.12 0.35 1.17 6.54 0.54 10.02 469770 236395
72 0.577 5.8 0.21 0.12 0.33 1.12 6.41 0.52 10.07 671170 367190
96 0.578 6.02 0.21 0.12 0.37 1.16 6.14 0.46 10.39 541885 248255
120 0.596 5.8 0.21 0.11 0.37 1.17 5.57 0.4 10.55 708485 244765
