time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.01 6.65 7.56 7.96 0.64 0.58 1.74 2.2 5519 4967 1.28
4 0.024 6.61 7.51 7.96 0.64 0.56 1.68 2.24 16075 15475 1.27
8 0.219 6.27 6.85 8.21 1.27 0.64 2.46 3.21 297417 296227 1.26
12 0.681 5.54 4.36 7.06 3.71 1.21 2.9 6.14 700632 698792 1.28
16 0.864 5.18 1.36 3.41 6.27 3.03 2.93 9.55 1133777 1131957 1.26
20 0.82 5.04 0.23 1.26 7.89 3.79 2.94 11.51 1055243 1053703 1.26
24 0.693 5.05 0.15 0.86 8.81 3.71 2.95 12.11 920261 918601 1.27
28 0.634 4.97 0.14 0.82 9.15 3.69 2.9 12.26 818213 816073 1.28
32 0.619 5.01 0.13 0.79 9.04 3.63 2.87 12.27 857870 855140 1.26
38 0.632 5.04 0.14 0.76 9.23 3.65 2.88 12.25 1340781 1335721 1.33
42 0.643 5.12 0.14 0.75 9.51 3.74 2.9 12.22 748808 744008 1.34
48 0.662 5.09 0.14 0.74 9.41 3.72 2.88 12.29 1127954 1110384 1.34
72 0.705 5.04 0.15 0.68 9.55 3.73 2.84 12.37 1145789 1089399 1.42
