time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose
0 0.018 6.65 7.7 8.5 0.57 1.04 1.96 0.72 0.02 4685 978 1.28 0 0 54730704 31660
4 0.018 6.65 7.7 8.5 0.57 1.04 1.96 0.72 0.02 703 29 1.28 1650 NA NA NA
8 0.018 6.61 7.51 8.38 0.55 1.01 1.9 0.71 0.09 357 46 1.31 4100 NA NA NA
12 0.023 6.65 7.94 8.63 0.58 1.08 2.06 0.75 0.1 1290 450 1.33 6550 NA NA NA
16 0.056 6.57 7.62 8.43 0.59 1.03 2.15 0.71 0.16 15280 10940 1.28 8300 NA NA NA
20 0.237 6.44 6.97 8.46 0.61 1.01 2.89 0.7 0.74 68290 61340 1.31 25800 NA NA NA
24 0.34 6.27 5.86 8.36 0.77 1.01 4.28 0.73 1.93 146310 142680 1.3 33400 NA NA NA
28 0.569 5.92 2.86 7.31 1.31 0.95 5.99 0.7 3.86 328970 323110 1.27 62350 NA NA NA
32 0.693 5.67 0.32 5.43 2.04 0.92 7.35 0.68 6.02 473780 454010 1.28 107800 NA NA NA
36 0.629 5.8 0.15 0.84 2.12 0.91 7.52 0.66 7.85 453690 421030 1.28 71300 NA NA NA
40 0.47 5.8 0.18 0.11 2.09 0.87 7.2 0.61 8.18 409780 374890 1.26 55800 NA NA NA
48 0.322 5.85 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
56 0.271 5.88 0.2 0 2.44 1.18 6.7 0.55 8.7 108260 102045 1.26 35850 NA NA NA
72 0.217 5.93 0.22 0 2.22 0.95 6.52 0.51 9.01 141360 44750 1.29 13750 15751146 28258384 37132
96 0.213 5.93 0.21 0 2.7 0.93 5.9 0.43 9.25 121040 40270 1.3 9500 7667304 28933754 36207
120 0.212 5.92 0.19 0 2.73 0.97 5.55 0.39 9.6 147920 30060 1.28 15200 4630765 28344676 36932
