time OD pH liquidtotalcount liquidactivecount Galactose Mannose Fucose
0 0.012 6.48 1382 1335 907434 8649335 53434
4 0.025 6.44 14631 10457 NA NA NA
8 0.067 6.44 99845 97765 NA NA NA
12 0.077 6.39 125025 124690 NA NA NA
16 0.064 6.4 106695 106370 NA NA NA
24 0.053 6.39 78665 76565 NA NA NA
36 0.032 6.39 23365 20365 NA NA NA
48 0.03 6.35 16455 12760 NA NA NA
72 0.03 6.34 21175 15460 NA NA NA
86 0.034 6.39 19105 11585 NA NA NA
96 0.042 6.43 24560 16070 NA NA NA
120 0.037 6.35 22900 12085 23178200 7139720.5 61583
144 0.035 6.35 29315 18620 NA NA NA
168 0.037 6.4 24970 14950 NA NA NA
