"metabolites"
arabinoxylan
arabinose
xylose
"fructan"
"fructose"
"pectin"
"methanol"
"galacturonate"
"pectine"
"glyceraldehyde 3-phosphate"
"pyruvate"
"starch"
glycogen
glucose
"glucose 1-phosphate"
"lactose"
"galactose"
"maltose"
"glucose 6-phosphate"
melibiose
sucrose
"fructose 6-phosphate"
"trehalose"
allose
"ribulose 5-phosphate"
"fructose 1-phosphate"
"fructose 1"
"6-bisphosphate"
fucose
"lactaldehyde"
"mannose 6-phosphate"
rhamnose
ribose
"ribose 5-phosphate"
"xylulose 5-phosphate"
co2
"2-oxoglutarate"
phenylalanine
"phenylacetate"
"glutamate"
"tryptophan"
indole
nh3
"tyrosine"
"4-hydroxyphenylacetate"
"4-hydroxyphenylethanol"
alanine
phenol
"aspartate"
"oxaloacetate"
"fumarate"
"acetyl-coa"
"crotonyl-coa"
"acetate"
"4-aminobutanoate"
glycine
"tetrahydrofolate"
5
"10-methylenetetrahydrofolate"
isoleucine
propanoyl-coa
leucine
"acetoacetate"
"methionine"
"homocysteine"
"methanethiol"
"2-oxobutanoate"
proline
valine
"3-amino-isobutanoate"
asparagine
serine
"cysteine"
h2s
hydrogen cyanide
"thiocyanate"
"glutamine"
"threonine"
"formate"
arginine
"putrescine"
urea
succinyl-coa
"succinate"
"ornithine"
"histidine"
formamide
lysine
"butanoate"
"acetoacetyl-coa"
cadaverine
"fatty acid"
glycerol
propane-1
3-diol
"phosphoenolpyruvate"
"triacylglycerol"
"acetyl phosphate"
"glucose-6-phosphate"
oxidized ferredoxin
nadh
reduced ferredoxin
h+
nad+
nad(p)h
h2
2-diol
"lactate"
"methyl-com"
"propionate"
"ccetyl-coa"
"ethanol"
"propanoate"
"methane"
"nitrate"
"sulfate"
""
hydrogen sulfide
mucin
na
