time OD pH liquidtotalcount liquidactivecount
0 0.001 6.4 1316 1187
4 0.015 6.4 16303 13695
8 0.057 6.4 87895 87335
12 0.053 6.35 95075 94625
16 0.041 6.4 91360 91335
24 0.034 6.39 64425 64165
36 0.022 6.43 20735 18810
48 0.023 6.35 20985 18210
72 0.026 6.3 29250 26455
86 0.042 6.47 32685 27975
96 0.027 6.47 32935 28160
120 0.037 6.43 46405 41830
144 0.032 6.44 30570 25915
168 0.031 6.44 38300 31575
